country_whitelist,country_blacklist,parents,title,alias
,PL,,Basketball Courts,basketballcourts
,BR,,Basketball Courts,basketballcourts
,SE,,Basketball Courts,basketballcourts
,CA,,Basketball Courts,basketballcourts
,NL,,Basketball Courts,basketballcourts
,IE,,Basketball Courts,basketballcourts
,GB,,Basketball Courts,basketballcourts
,,restaurants,Basque,basque
,AU,,Basque,basque
,DK,,Basque,basque
,CZ,,Basque,basque
,PT,,Basque,basque
,SG,,Basque,basque
,TR,,Basque,basque
,,active,Bathing Area,bathing_area
DE,,,Bathing Area,bathing_area
DK,,,Bathing Area,bathing_area
CH,,,Bathing Area,bathing_area
JP,,,Bathing Area,bathing_area
PT,,,Bathing Area,bathing_area
NO,,,Bathing Area,bathing_area
FI,,,Bathing Area,bathing_area
SE,,,Bathing Area,bathing_area
CZ,,,Bathing Area,bathing_area
AT,,,Bathing Area,bathing_area
,,shopping,Battery Stores,batterystores
,CZ,,Battery Stores,batterystores
,,active,Batting Cages,battingcages
JP,,,Batting Cages,battingcages
TW,,,Batting Cages,battingcages
SG,,,Batting Cages,battingcages
US,,,Batting Cages,battingcages
,,restaurants,Bavarian,bavarian
CH,,,Bavarian,bavarian
AT,,,Bavarian,bavarian
DE,,,Bavarian,bavarian
,,restaurants,Barbeque,bbq
,BR,,Barbeque,bbq
,AU,,Barbeque,bbq
,,bars,Beach Bars,beachbars
,MY,,Beach Bars,beachbars
,PL,,Beach Bars,beachbars
,TW,,Beach Bars,beachbars
,CA,,Beach Bars,beachbars
,BE,,Beach Bars,beachbars
,JP,,Beach Bars,beachbars
,US,,Beach Bars,beachbars
,IE,,Beach Bars,beachbars
,HK,,Beach Bars,beachbars
,TR,,Beach Bars,beachbars
,FI,,Beach Bars,beachbars
,CZ,,Beach Bars,beachbars
,NZ,,Beach Bars,beachbars
,PH,,Beach Bars,beachbars
,GB,,Beach Bars,beachbars
,,active,Beach Equipment Rentals,beachequipmentrental
,,active,Beaches,beaches
,,active,Beach Volleyball,beachvolleyball
,PL,,Beach Volleyball,beachvolleyball
,CH,,Beach Volleyball,beachvolleyball
,CA,,Beach Volleyball,beachvolleyball
,BE,,Beach Volleyball,beachvolleyball
,HK,,Beach Volleyball,beachvolleyball
,IT,,Beach Volleyball,beachvolleyball
,NZ,,Beach Volleyball,beachvolleyball
,MY,,Beach Volleyball,beachvolleyball
,TW,,Beach Volleyball,beachvolleyball
,US,,Beach Volleyball,beachvolleyball
,NL,,Beach Volleyball,beachvolleyball
,IE,,Beach Volleyball,beachvolleyball
,FR,,Beach Volleyball,beachvolleyball
,TR,,Beach Volleyball,beachvolleyball
,PH,,Beach Volleyball,beachvolleyball
,GB,,Beach Volleyball,beachvolleyball
,,,Beauty & Spas,beautysvc
,,hotelstravel,Bed & Breakfast,bedbreakfast
,,food,"Beer, Wine & Spirits",beer_and_wine
,,bars,Beer Bar,beerbar
,,restaurants,Beer Garden,beergarden
CH,,,Beer Garden,beergarden
CZ,,,Beer Garden,beergarden
AT,,,Beer Garden,beergarden
DE,,,Beer Garden,beergarden
,,nightlife,Beer Gardens,beergardens
PL,,,Beer Gardens,beergardens
AU,,,Beer Gardens,beergardens
DK,,,Beer Gardens,beergardens
US,,,Beer Gardens,beergardens
CA,,,Beer Gardens,beergardens
JP,,,Beer Gardens,beergardens
IE,,,Beer Gardens,beergardens
FR,,,Beer Gardens,beergardens
IT,,,Beer Gardens,beergardens
NO,,,Beer Gardens,beergardens
SE,,,Beer Gardens,beergardens
CZ,,,Beer Gardens,beergardens
GB,,,Beer Gardens,beergardens
MX,,,Beer Gardens,beergardens
,,restaurants,Beer Hall,beerhall
CH,,,Beer Hall,beerhall
AT,,,Beer Hall,beerhall
DE,,,Beer Hall,beerhall
,,tours,Beer Tours,beertours
,,health,Behavior Analysts,behavioranalysts
,,portuguese,Beira,beira
PT,,,Beira,beira
,,restaurants,Beisl,beisl
AT,,,Beisl,beisl
,,restaurants,Belgian,belgian
,,food,Bento,bento
JP,,,Bento,bento
,,french,Berrichon,berrichon
FR,,,Berrichon,berrichon
